Name,SlotType,SizeClass,Category,MetaTier,CPU_tf,Powergrid_MW,CapCost_GJ,Optimal_m,Falloff_m,Tracking_rad_s,ROF_s,DamageTypes,DamageBonus,ShieldHPBonus,ShieldBoostHP,ArmorHPBonus,ArmorRepHP,ResistBonus,SpeedBonus,Role
100MN / 500MN Afterburner,Mid,Battleship,Propulsion,Tech I / Tech II / Faction / Deadspace,45,1850,165.0,,,,10.0,,,,,,,,+135%,Battleship heavy afterburner (immune to scram shutoff)
10MN / 50MN Afterburner,Mid,Cruiser,Propulsion,Tech I / Tech II / Faction / Deadspace,28,135,45.0,,,,10.0,,,,,,,,+135%,Cruiser / BC afterburner (immune to scram shutoff)
1MN / 5MN Afterburner,Mid,Frigate,Propulsion,Tech I / Tech II / Faction / Deadspace,15,15,12.0,,,,10.0,,,,,,,,+135%,Frigate afterburner (immune to scram shutoff)
200mm / 400mm / 800mm / 1600mm Steel Plates,Low,Frigate / Cruiser / BS,Armor Buffer,Tech I / Tech II / Faction,25,380,0.0,,,,,,,,,+3500 HP,,,,Passive armor buffer EHP with mass penalty
5MN / 50MN / 500MN Microwarpdrive (MWD),Mid,Universal,Propulsion,Tech I / Tech II / Faction / Deadspace,32,150,75.0,,,,10.0,,,,,,,,+500%,Extreme sub-warp speed (disabled by Warp Scrambler)
Ancillary Armor Repairer (SAAR / MAAR / LAAR),Low,Universal,Armor Active,Tech I / Tech II,38,175,45.0,,,,9.0,,,,,,1450 HP (with Nanite Paste),,,High burst active armor repairer with nanite paste charges
Ancillary Shield Booster (MASB / LASB / XL-ASB),Mid,Universal,Shield Active,Tech I / Tech II,75,160,0.0,,,,4.0,,,,950 HP / cycle (Uses Cap Boosters),,,,,Capless active burst shield repairer
Assault Damage Control II (ADC II),Low,Assault Only,Assault Defense,Tech II,32,1,15.0,,,,150.0,,,,,,,+95% All Resists for 15s Panic Window,,Exclusive to Assault Frigates & HACs; 15s near-invulnerability panic button
Ballistic Control System II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,32,1,0.0,,,,,,"+10% Missile Damage, +10.5% RoF",,,,,,,Passive missile launcher DPS amplifier
Capital Energy Turret,High,Capital,Energy Turret,Tech I / Faction,150,185000,1450.0,65000,35000,0.0025,12.0,EM / Thermal,,,,,,,,Dreadnought anti-capital energy siege weapon
Capital Hybrid Turret,High,Capital,Hybrid Turret,Tech I / Faction,140,175000,480.0,45000,40000,0.0028,10.5,Kinetic / Thermal,,,,,,,,Dreadnought capital hybrid blaster/rail siege gun
Capital Projectile Turret,High,Capital,Projectile Turret,Tech I / Faction,130,195000,0.0,38000,65000,0.0022,14.0,Selectable (EM/Therm/Kin/Exp),,,,,,,,Dreadnought capital projectile siege cannon
Cruise Missile Launcher,High,Large,Missile Launcher,Tech I / Tech II / Faction,85,950,0.0,180000,,,11.2,Selectable (EM/Therm/Kin/Exp),,,,,,,,Battleship extreme range cruise missile sniper
Damage Control II (DCU II),Low,Universal,Hull / Defense,Tech II,25,1,0.0,,,,,,,,,,,"+12.5% Shield, +15% Armor, +60% Hull Resists",,Passive omni-defense module fit on virtually every combat vessel
Drone Damage Amplifier II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,24,1,0.0,,,,,,+23% Drone & Fighter Damage,,,,,,,Passive drone DPS amplifier
ECM Jammer,Mid,Small,EWAR,Tech I / Tech II / Faction,45,1,45.0,55000,25000,,20.0,,,,,,,,,Forces target to lose all target locks except the jamming vessel
Energy Neutralizer (Small / Medium / Large / Capital),High,Universal,Capacitor Warfare,Tech I / Tech II / Faction / Officer,45,280,120.0,18000,12000,,12.0,,,,,,,,,"Destroys target capacitor directly, disabling active modules and weapons"
Energy Nosferatu (Small / Medium / Large / Capital),High,Universal,Capacitor Warfare,Tech I / Tech II / Faction / Officer,35,190,0.0,14000,8000,,6.0,,,,,,,,,Leeches capacitor from target into own capacitor pool
Entropic Radiation Sink II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,26,1,0.0,,,,,,"+10% Disintegrator Damage, +10.5% RoF",,,,,,,Passive Triglavian disintegrator DPS amplifier
Gyrostabilizer II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,28,1,0.0,,,,,,"+10% Projectile Damage, +10.5% RoF",,,,,,,Passive projectile turret DPS amplifier
Heat Sink II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,28,1,0.0,,,,,,"+10% Laser Damage, +10.5% RoF",,,,,,,Passive energy laser DPS amplifier
Heavy Assault Missile Launcher (HAM),High,Medium,Missile Launcher,Tech I / Tech II / Faction,42,85,0.0,25000,,,4.2,Selectable (EM/Therm/Kin/Exp),,,,,,,,Cruiser close-range heavy missile DPS
Heavy Missile Launcher (HML),High,Medium,Missile Launcher,Tech I / Tech II / Faction,55,115,0.0,68000,,,7.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Cruiser fleet long-range missile platform
Heavy Stasis Grappler,Mid,Battleship,Tackle,Tech I / Tech II / Faction,45,250,65.0,2500,9000,,5.0,,,,,,,,,Battleship extreme short-range velocity reduction (up to 85%)
Large Artillery (1400mm Howitzer),High,Large,Projectile Turret,Tech I / Tech II / Faction,95,3850,0.0,58000,42000,0.009,12.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless battleship fleet instakill alpha strike
Large Autocannon (800mm Repeating Cannon),High,Large,Projectile Turret,Tech I / Tech II / Faction,55,1450,0.0,5500,32000,0.052,4.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless battleship mobile autocannon DPS
Large Beam Laser (Tachyon / Mega Beam),High,Large,Energy Turret,Tech I / Tech II / Faction,88,2950,155.0,78000,22000,0.016,7.8,EM / Thermal,,,,,,,,Battleship extreme range sniper
Large Blaster (Neutron Blaster Cannon),High,Large,Hybrid Turret,Tech I / Tech II / Faction,68,1950,38.0,11000,18000,0.042,4.2,Kinetic / Thermal,,,,,,,,Battleship close-range thermal/kinetic brawler
Large Pulse Laser (Mega Pulse),High,Large,Energy Turret,Tech I / Tech II / Faction,65,1850,95.0,24000,14000,0.038,5.1,EM / Thermal,,,,,,,,Battleship heavy pulse brawler
Large Railgun (425mm / 350mm),High,Large,Hybrid Turret,Tech I / Tech II / Faction,82,2750,55.0,85000,28000,0.014,6.8,Kinetic / Thermal,,,,,,,,Battleship fleet railgun sniper
Light Missile Launcher,High,Small,Missile Launcher,Tech I / Tech II / Faction,38,8,0.0,45000,,,6.8,Selectable (EM/Therm/Kin/Exp),,,,,,,,Frigate / Destroyer long range kiter
Magnetic Field Stabilizer II,Low,Universal,Weapon Upgrade,Tech II / Faction / Officer,28,1,0.0,,,,,,"+10% Hybrid Damage, +10.5% RoF",,,,,,,Passive hybrid blaster/rail DPS amplifier
Medium / Large / X-Large Shield Booster,Mid,Universal,Shield Active,Tech I / Tech II / Faction / Deadspace,65,185,180.0,,,,4.0,,,,750 HP / cycle,,,,,Active local shield repairer
Medium / Large Shield Extender (MSE / LSE),Mid,Frigate / Cruiser / BS,Shield Buffer,Tech I / Tech II / Faction / Deadspace,45,120,0.0,,,,,,,+2800 HP,,,,,,Passive shield buffer EHP with signature penalty
Medium Artillery (720mm Howitzer),High,Medium,Projectile Turret,Tech I / Tech II / Faction,52,245,0.0,28000,21000,0.035,8.2,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless cruiser fleet alpha volley strike
Medium Autocannon (425mm / 220mm),High,Medium,Projectile Turret,Tech I / Tech II / Faction,28,85,0.0,2800,16500,0.165,3.2,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless cruiser nano skirmish autocannon
Medium Beam Laser,High,Medium,Energy Turret,Tech I / Tech II / Faction,48,195,28.5,34000,8500,0.055,5.4,EM / Thermal,,,,,,,,Cruiser / Battlecruiser long-range beam sniper
Medium Blaster (Heavy Neutron / Electron),High,Medium,Hybrid Turret,Tech I / Tech II / Faction,36,135,7.5,5500,9500,0.145,3.0,Kinetic / Thermal,,,,,,,,Cruiser face-melting blaster DPS
Medium Pulse Laser,High,Medium,Energy Turret,Tech I / Tech II / Faction,35,125,18.0,12000,6500,0.125,3.6,EM / Thermal,,,,,,,,Cruiser close-range heavy laser brawler
Medium Railgun (250mm / 200mm),High,Medium,Hybrid Turret,Tech I / Tech II / Faction,46,185,11.5,38000,12000,0.048,4.8,Kinetic / Thermal,,,,,,,,Cruiser / Battlecruiser fleet rail sniper
Micro Jump Drive (MJD),Mid,Battleship / BC,Propulsion,Tech I / Tech II,55,850,300.0,100000,,,180.0,,,,,,,,100km Instant Blink,Instantly teleports ship 100km forward after spool
Multi-Spectrum Energized Membrane II,Low,Universal,Armor Resistance,Tech I / Tech II / Faction / Deadspace,28,1,0.0,,,,,,,,,,,+22.5% All Armor Resists,,Passive capless omni-armor resistance membrane
Multi-Spectrum Shield Hardener,Mid,Universal,Shield Hardener,Tech I / Tech II / Faction / Deadspace,38,1,18.0,,,,20.0,,,,,,,+30% All Shield Resists,,Active omni-resistance booster for shields
Nanofiber Internal Structure II,Low,Universal,Mobility,Tech II,15,1,0.0,,,,,,,,,,,,"+9.4% Velocity, -15.8% Inertia / Align",Increases sub-warp speed and reduces align time at cost of 20% structure HP
Overdrive Injector System II,Low,Universal,Mobility,Tech II,12,1,0.0,,,,,,,,,,,,+12.5% Max Velocity,Increases maximum sub-warp velocity at cost of cargo capacity
Reactive Armor Hardener (RAH),Low,Universal,Armor Resistance,Tech I,30,1,10.0,,,,5.0,,,,,,,Adaptive Armor Resists (Shifts toward incoming damage),,Dynamically shifts resistance profile to match incoming damage types
Rocket Launcher,High,Small,Missile Launcher,Tech I / Tech II / Faction,22,5,0.0,12000,,,2.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Frigate close-range rocket brawler
Sensor Dampener,Mid,Small,EWAR,Tech I / Tech II / Faction,34,1,22.0,48000,32000,,5.0,,,,,,,,,Reduces target targeting range or slows targeting lock speed
Small / Medium / Large Armor Repairer,Low,Universal,Armor Active,Tech I / Tech II / Faction / Deadspace,32,195,140.0,,,,9.0,,,,,,680 HP / cycle,,,Active local armor repairer
Small Artillery (280mm Howitzer),High,Small,Projectile Turret,Tech I / Tech II / Faction,25,18,0.0,12500,9500,0.098,6.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless frigate massive alpha volley
Small Autocannon (200mm / 150mm),High,Small,Projectile Turret,Tech I / Tech II / Faction,11,5,0.0,1200,6500,0.48,2.4,Selectable (EM/Therm/Kin/Exp),,,,,,,,Capless frigate brawling autocannon
Small Beam Laser,High,Small,Energy Turret,Tech I / Tech II / Faction,22,14,7.2,14500,3200,0.16,4.2,EM / Thermal,,,,,,,,Frigate long-range sniper laser
Small Blaster (Neutron / Electron / Ion),High,Small,Hybrid Turret,Tech I / Tech II / Faction,16,9,1.8,2200,3800,0.42,2.2,Kinetic / Thermal,,,,,,,,Frigate supreme close-range DPS
Small Pulse Laser,High,Small,Energy Turret,Tech I / Tech II / Faction,15,8,4.5,4800,2400,0.35,2.8,EM / Thermal,,,,,,,,Frigate close-range high tracking laser
Small Railgun,High,Small,Hybrid Turret,Tech I / Tech II / Faction,24,12,2.8,16500,4800,0.145,3.8,Kinetic / Thermal,,,,,,,,Frigate long-range rail sniper
Stasis Webifier,Mid,Small,Tackle / EWAR,Tech I / Tech II / Faction / Officer,25,1,15.0,10000,,,5.0,,,,,,,,,Reduces target sub-warp velocity by 50-60% (up to 90% with bonuses)
Target Painter,Mid,Small,EWAR,Tech I / Tech II / Faction,28,1,18.0,36000,24000,,5.0,,,,,,,,,Blooms target signature radius by 25-35% to increase damage application
Torpedo Launcher,High,Large,Missile Launcher,Tech I / Tech II / Faction,65,1150,0.0,38000,,,8.5,Selectable (EM/Therm/Kin/Exp),,,,,,,,Stealth Bomber / Battleship heavy anti-capital torpedo
Tracking Disruptor,Mid,Small,EWAR,Tech I / Tech II / Faction,30,1,20.0,42000,28000,,5.0,,,,,,,,,Reduces hostile turret tracking speed or optimal range / falloff
Warp Disruptor (Long Point),Mid,Small,Tackle,Tech I / Tech II / Faction / Officer,32,1,30.0,24000,,,5.0,,,,,,,,,Applies 1 point of warp disruption (allows target MWD to function)
Warp Scrambler (Scram),Mid,Small,Tackle,Tech I / Tech II / Faction / Officer,28,1,22.0,9000,,,5.0,,,,,,,,,Applies 2-3 points of warp disruption and disables target MWD/MJD
XL Torpedo / Cruise Launcher,High,Capital,Missile Launcher,Tech I / Faction,160,145000,0.0,85000,,,15.0,Selectable (EM/Therm/Kin/Exp),,,,,,,,Dreadnought capital missile siege bombardment
