SystemName,Region,Constellation,SecurityStatus,TrueSec,SystemClass,Stargates,Stations,Faction
Jita,The Forge,Kimotoro,0.9,0.94,Highsec (Main Trade Hub 4-4),4,14,Caldari State
Amarr,Domain,Throne Worlds,1.0,1.0,Highsec (Imperial Trade Hub / Capital),3,12,Amarr Empire
Dodixie,Sinq Laison,Gallente Prime,0.9,0.86,Highsec (Gallente Trade Hub),4,9,Gallente Federation
Rens,Heimatar,Hed,0.9,0.88,Highsec (Minmatar Trade Hub),4,11,Minmatar Republic
Hek,Metropolis,Hedion,0.5,0.54,Highsec (Lowsec Gateway Trade Hub),3,6,Minmatar Republic
Perimeter,The Forge,Kimotoro,1.0,0.98,Highsec (Market Perimeter Gateway),4,8,Caldari State
1DQ1-A,Delve,1DQ1-A,-0.1,-0.87,Nullsec (Imperium Fleet Staging),5,4,Nullsec Sovereign
MJ-5F9,Kalevala Expanse,MJ-5F9,-0.1,-0.74,Nullsec (Pandemic Horde Staging),4,3,Nullsec Sovereign
4-P22S,Fade,4-P22S,-0.2,-0.65,Nullsec (Northern Coalition Fleet Staging),4,2,Nullsec Sovereign
B-R5RB,Impass,B-R5RB,-0.1,-0.76,Nullsec (Site of the Titan Bloodbath Monument),4,2,Nullsec Sovereign
M-OEE8,Tribute,M-OEE8,-0.1,-0.52,Nullsec (Historic Keepstar Citadel Siege),4,2,Nullsec Sovereign
6VDT-H,Fountain,6VDT-H,-0.2,-0.68,Nullsec (Fountain Battle Capital Gateway),4,3,Nullsec Sovereign
HED-GP,Catch,Catch Gateway,-0.1,-0.45,Nullsec (High-Traffic Lowsec/Empire Pipe Chokepoint),4,2,Nullsec Sovereign
EC-P8R,Pure Blind,EC-P8R,-0.1,-0.48,Nullsec (Caldari Border Chokepoint),4,2,Nullsec Sovereign
GE-8JV,Catch,Catch Core,-0.1,-0.72,Nullsec (Brave Collective Capital Staging),4,3,Nullsec Sovereign
V-3YG7,Insmother,Insmother Core,-0.2,-0.82,Nullsec (WinterCo / Fraternity Capital Staging),4,3,Nullsec Sovereign
Tama,The Citadel,Okuroda,0.3,0.28,Lowsec (Premier Caldari/Gallente FW Meatgrinder),4,4,Faction Warfare (Caldari / Gallente)
Amamake,Heimatar,Hedion,0.4,0.38,Lowsec (Minmatar / Amarr FW Top Belt),3,3,Faction Warfare (Minmatar / Amarr)
Rancer,Everyshore,Rancer Pipe,0.4,0.35,Lowsec (Notorious Smartbomb Gatecamp Pipe),2,1,Pirate Insurgency / Lowsec
Ahbazon,Genesis,Ahbazon Pipe,0.4,0.39,Lowsec (Shortest Highsec Pipe to Amarr / Heavy Gatecamp),2,2,Lowsec Chokepoint
Huola,The Bleak Lands,Huola,0.4,0.36,Lowsec (Amarr / Minmatar FW Complex Warzone),4,4,Faction Warfare
Kamela,The Bleak Lands,Huola,0.4,0.38,Lowsec (Amarr Militia Headquarters),3,3,Faction Warfare
Otela,Pochven,Krai Veles,-1.0,-1.0,Triglavian Space (Pochven Filament Gateway),3,2,Triglavian Collective
Skarkon,Pochven,Krai Svarog,-1.0,-1.0,Triglavian Space (Pochven Flashpoint Warzone),3,2,Triglavian Collective
Raravoss,Pochven,Krai Perun,-1.0,-1.0,Triglavian Space (First Stellar Harvester Conversion),3,2,Triglavian Collective
Thera,Anoikis (W-Space),Thera Constellation,-0.9,-0.99,Shattered Wormhole (Epicenter of W-Space Navigation),0,4,Sisters of EVE
Zarzakh,The Deathless Void,Zarzakh,-0.1,-0.99,Ancient Jove Star Gate Hub (Deathless Gate Network),4,1,The Deathless
J105934,W-Space (Class 5),C5 Core,-1.0,-1.0,Wormhole Class 5 (High-End Capital Escalation Site),0,0,Sleeper Enclave
J115405,W-Space (Class 6),C6 Core,-1.0,-1.0,Wormhole Class 6 (Apex Magnetar / Dreadnought Site),0,0,Sleeper Enclave
THE-01B,The Forge,The Forge Constellation 1,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-02C,The Forge,The Forge Constellation 1,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-03D,The Forge,The Forge Constellation 1,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-04E,The Forge,The Forge Constellation 1,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-05F,The Forge,The Forge Constellation 2,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-06G,The Forge,The Forge Constellation 2,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-07H,The Forge,The Forge Constellation 2,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-08I,The Forge,The Forge Constellation 2,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-09J,The Forge,The Forge Constellation 3,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-10K,The Forge,The Forge Constellation 3,0.8,0.75,Highsec Empire System,4,3,Caldari
THE-11L,The Forge,The Forge Constellation 3,0.8,0.75,Highsec Empire System,4,3,Caldari
DOM-01B,Domain,Domain Constellation 1,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-02C,Domain,Domain Constellation 1,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-03D,Domain,Domain Constellation 1,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-04E,Domain,Domain Constellation 1,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-05F,Domain,Domain Constellation 2,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-06G,Domain,Domain Constellation 2,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-07H,Domain,Domain Constellation 2,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-08I,Domain,Domain Constellation 2,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-09J,Domain,Domain Constellation 3,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-10K,Domain,Domain Constellation 3,0.9,0.85,Highsec Empire System,4,3,Amarr
DOM-11L,Domain,Domain Constellation 3,0.9,0.85,Highsec Empire System,4,3,Amarr
SIN-01B,Sinq Laison,Sinq Laison Constellation 1,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-02C,Sinq Laison,Sinq Laison Constellation 1,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-03D,Sinq Laison,Sinq Laison Constellation 1,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-04E,Sinq Laison,Sinq Laison Constellation 1,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-05F,Sinq Laison,Sinq Laison Constellation 2,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-06G,Sinq Laison,Sinq Laison Constellation 2,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-07H,Sinq Laison,Sinq Laison Constellation 2,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-08I,Sinq Laison,Sinq Laison Constellation 2,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-09J,Sinq Laison,Sinq Laison Constellation 3,0.8,0.75,Highsec Empire System,4,3,Gallente
